word,length,fre,pmi,entropy
魂魄谐振仪,5,0.00023414503612523415,7.793174347189205,2.309632530938063
咕嘟咕嘟,4,4.45990545000446e-05,8.69604205873122,1.3862943611198906
十四熊,3,0.0007247346356257248,6.3103420590266674,3.4591308503510385
萨夫特妈妈,5,3.344929087503345e-05,8.631503537593648,1.0986122886681096
牛仔短裤,4,3.344929087503345e-05,8.408359986279438,1.0986122886681096
彼岸花,3,7.804834537507805e-05,7.7442003425927455,1.7478680974667573
笨蛋笨蛋,4,4.45990545000446e-05,8.26859804390428,1.0397207708399179
隐形眼镜,4,6.68985817500669e-05,7.642892144139867,1.5607104090414063
嘟起嘴,3,5.574881812505575e-05,7.575450863344335,1.6094379124341005
里贝拉老师,5,0.0005909374721255909,5.469198064213842,3.5122975295336967
取得联系,4,3.344929087503345e-05,7.715212805719493,1.0986122886681096
施瓦兹坟场,5,4.45990545000446e-05,7.415108213269155,1.3862943611198906
耸耸肩,3,5.574881812505575e-05,7.7405306137037835,1.0549201679861442
越过沙坑,4,3.344929087503345e-05,7.666422641550061,1.0986122886681096
判别距离,4,5.574881812505575e-05,7.047383433143838,1.3321790402101223
怪叔叔,3,8.91981090000892e-05,6.991293966492794,1.3862943611198906
日第封,3,7.804834537507805e-05,7.080906125182481,1.277034259466139
袋鼠小姐,4,0.00010034787262510035,6.146596887805648,2.1972245773362196
半血恶魔,4,0.0001560966907501561,6.476838574676225,1.8468891232610356
九十度,3,3.344929087503345e-05,7.199399640442463,1.0986122886681096
红着脸,3,3.344929087503345e-05,7.184584554657323,1.0986122886681096
压低声音,4,5.574881812505575e-05,6.882303682784389,1.3321790402101223
响个不停,4,4.45990545000446e-05,7.173615523286749,1.0397207708399179
组成第小队,5,3.344929087503345e-05,7.113632818685038,1.0986122886681096
右手食指,4,5.574881812505575e-05,7.149898996669433,1.0549201679861442
白大褂,3,3.344929087503345e-05,7.10002716662926,1.0986122886681096
猫熊先生,4,0.00010034787262510035,6.136234100770102,2.0431918705451206
其他种族,4,0.0001114976362501115,6.4259801574427335,1.7480673485460891
监控录像,4,3.344929087503345e-05,7.022065625159548,1.0986122886681096
把她弄,3,4.45990545000446e-05,6.72196103270921,1.3862943611198906
法希同学,4,0.00014494692712514496,5.788720742521281,2.3114234446919735
姐姐大人,4,0.0007804834537507804,4.450653678799965,3.634177709742599
双手叉腰,4,4.45990545000446e-05,6.685593388538335,1.3862943611198906
距离差,3,5.574881812505575e-05,7.014593610320847,1.0549201679861442
案发现场,4,5.574881812505575e-05,6.448265202232169,1.6094379124341005
紧紧抱住,4,5.574881812505575e-05,6.676704441121089,1.3321790402101223
复归沉,3,4.45990545000446e-05,6.904282589503164,1.0397207708399179
